iter	Passed	Remaining
411	3982	5683
412	3993	5676
413	4001	5664
414	4010	5653
415	4019	5642
416	4029	5633
417	4037	5622
418	4049	5615
419	4059	5605
420	4067	5594
421	4075	5582
422	4085	5573
423	4093	5560
424	4101	5549
425	4110	5538
426	4119	5527
427	4128	5516
428	4135	5503
429	4142	5491
430	4160	5492
431	4175	5490
432	4187	5483
433	4200	5477
434	4211	5470
435	4220	5459
436	4229	5449
437	4242	5443
438	4253	5435
439	4263	5426
440	4275	5419
441	4286	5411
442	4295	5401
443	4304	5390
444	4313	5379
445	4322	5369
446	4329	5356
447	4339	5347
448	4350	5338
449	4359	5328
450	4369	5319
451	4379	5309
452	4388	5299
453	4397	5288
454	4405	5277
455	4414	5266
456	4424	5257
457	4434	5247
458	4445	5239
459	4452	5226
460	4462	5217
461	4470	5205
462	4479	5195
463	4488	5185
464	4496	5172
465	4506	5163
466	4515	5153
467	4524	5142
468	4534	5134
469	4544	5125
470	4553	5114
471	4563	5104
472	4573	5096
473	4584	5087
474	4594	5077
475	4602	5066
476	4610	5054
477	4617	5042
478	4626	5032
479	4637	5023
480	4645	5012
481	4655	5002
482	4665	4993
483	4675	4985
484	4685	4974
485	4694	4964
486	4702	4953
487	4711	4943
488	4719	4932
489	4728	4921
490	4737	4911
491	4747	4901
492	4756	4891
493	4764	4879
494	4772	4869
495	4783	4860
496	4790	4848
497	4799	4837
498	4808	4827
499	4817	4817
500	4825	4806
501	4832	4794
502	4841	4783
503	4848	4771
504	4858	4762
505	4867	4752
506	4877	4742
507	4887	4733
508	4897	4724
509	4907	4715
510	4918	4706
511	4928	4697
512	4940	4690
513	4949	4679
514	4960	4671
515	4969	4661
516	4980	4652
517	4991	4644
518	5006	4640
519	5020	4634
520	5030	4625
521	5041	4616
522	5052	4608
523	5064	4600
524	5075	4592
525	5085	4582
526	5093	4571
527	5102	4561
528	5112	4551
529	5120	4540
530	5128	4529
531	5140	4521
532	5150	4512
533	5159	4502
534	5165	4489
535	5174	4479
536	5181	4467
537	5190	4457
538	5202	4449
539	5212	4440
540	5219	4428
541	5226	4416
542	5232	4404
543	5241	4393
544	5250	4383
545	5260	4374
546	5270	4364
547	5279	4354
548	5292	4347
549	5301	4337
550	5308	4325
551	5317	4315
552	5326	4305
553	5334	4294
554	5341	4283
555	5348	4271
556	5357	4260
557	5365	4249
558	5372	4238
559	5380	4227
560	5389	4217
561	5397	4206
562	5402	4193
563	5413	4184
564	5423	4175
565	5431	4164
566	5439	4153
567	5450	4145
568	5459	4135
569	5467	4124
570	5477	4115
571	5486	4105
572	5496	4096
573	5506	4086
574	5516	4077
575	5525	4067
576	5532	4056
577	5542	4046
578	5574	4053
579	5589	4047
580	5602	4040
581	5613	4031
582	5622	4021
583	5629	4010
584	5639	4000
585	5646	3989
586	5654	3978
587	5662	3967
588	5669	3956
589	5676	3944
590	5686	3935
591	5697	3926
592	5704	3914
593	5713	3905
594	5723	3896
595	5733	3886
596	5742	3876
597	5751	3866
598	5761	3856
599	5770	3846
600	5779	3836
601	5787	3826
602	5797	3816
603	5805	3806
604	5813	3795
605	5822	3785
606	5833	3776
607	5840	3765
608	5849	3755
609	5858	3745
610	5865	3734
611	5875	3725
612	5884	3714
613	5895	3706
614	5903	3695
615	5914	3687
616	5924	3677
617	5935	3669
618	5949	3661
