iter	Logloss
0	0.6741452424
1	0.6610178924
2	0.6452220972
3	0.6322853715
4	0.6178288851
5	0.6050492439
6	0.5923868447
7	0.5796143905
8	0.5656821578
9	0.5532289957
10	0.5412277369
11	0.5315846614
12	0.5207313869
13	0.511495323
14	0.5018109308
15	0.4915783647
16	0.4810495791
17	0.4727025424
18	0.4653914078
19	0.456257106
20	0.4475433055
21	0.440214885
22	0.4325842742
23	0.4263247799
24	0.4195534526
25	0.4141450596
26	0.4076987741
27	0.4026023017
28	0.396229767
29	0.3916155682
30	0.3862474967
31	0.381631455
32	0.3775508715
33	0.3735450339
34	0.3683057407
35	0.3635533282
36	0.3591981971
37	0.3556507498
38	0.3520944936
39	0.3493237703
40	0.3469384603
41	0.3437866358
42	0.3400134764
43	0.3367770283
44	0.3328921553
45	0.3294586329
46	0.3264005357
47	0.3226967042
48	0.3191410747
49	0.3168097602
50	0.3142484213
51	0.3117829475
52	0.3093737174
53	0.3072952049
54	0.3050779997
55	0.3028418315
56	0.3008888539
57	0.2991389399
58	0.2971618763
59	0.2947538809
60	0.2923014544
61	0.2901769813
62	0.2883305941
63	0.2855398943
64	0.2831263335
65	0.2816977754
66	0.2795316355
67	0.2783913543
68	0.2764816653
69	0.275062174
70	0.273119498
71	0.2711955269
72	0.2697856184
73	0.2687561846
74	0.267054719
75	0.2655964911
76	0.2640545241
77	0.2628381333
78	0.2614893522
79	0.2605039808
80	0.2594302634
81	0.2584823572
82	0.2573260616
83	0.2559298087
84	0.2547959959
85	0.2540001984
86	0.2527424356
87	0.2517339734
88	0.2503853397
89	0.2491542245
90	0.2482726608
91	0.2473329922
92	0.2466293188
93	0.2458468635
94	0.2449740903
95	0.2442377063
96	0.2431546271
97	0.2418218603
98	0.2404369225
99	0.2392250466
100	0.238606218
101	0.2375898868
102	0.2368416717
103	0.2359438541
104	0.2349093525
105	0.2339792851
106	0.2331599728
107	0.2323366617
108	0.2316753
109	0.2311775097
110	0.2305128309
111	0.2296366484
112	0.2290664894
113	0.2283869204
114	0.2274210096
115	0.2267971315
116	0.2260114145
117	0.2252648026
118	0.2246313786
119	0.2242083342
120	0.2235826502
121	0.2227920311
122	0.2222030013
123	0.2217431184
124	0.221366827
125	0.2205203512
126	0.2199170762
127	0.2192617039
128	0.2185821533
129	0.2182670814
130	0.2178940151
131	0.217433137
132	0.2168419511
133	0.2164187777
134	0.2157844138
135	0.2151717771
136	0.2145813652
137	0.2139428733
138	0.213378851
139	0.212950923
140	0.2126296407
141	0.2119832983
142	0.2114065419
143	0.2110438324
144	0.2107174086
145	0.2100609673
146	0.2099043252
147	0.2095223763
148	0.2091337563
149	0.2087408425
150	0.2084514784
151	0.207865821
152	0.2073571763
153	0.2067295019
154	0.206071052
155	0.2057403712
156	0.2054459945
157	0.2053038371
158	0.2047382299
159	0.2040669169
160	0.2037659429
161	0.2033693618
